method,method_pretty,pert,method_family,DA200_PB,DA200_OpPert,DA200_PSI,DA200_min,DA200_max,DA50_PB,DA50_OpPert,DA50_PSI,DA50_min,DA50_max,DA20_PB,DA20_OpPert,DA20_PSI,DA20_min,DA20_max,Cos200_PB,Cos200_OpPert,Cos200_PSI,Cos200_min,Cos200_max,Cos_all_PB,Cos_all_OpPert,Cos_all_PSI,Cos_all_min,Cos_all_max,Pearson20_PB,Pearson20_OpPert,Pearson20_PSI,Pearson20_min,Pearson20_max,DEGrecall20_PB,DEGrecall20_OpPert,DEGrecall20_PSI,DEGrecall20_min,DEGrecall20_max,MSE20_PB,MSE20_OpPert,MSE20_PSI,MSE20_min,MSE20_max
norman19_cpa,CPA,AHR+KLF1,PerturBench,1.0,0.355,0.645,0.355,1.0,1.0,0.3,0.7,0.3,1.0,1.0,0.3,0.7,0.3,1.0,0.9969087867809073,-0.07639064505083454,1.073299431831742,-0.07639064505083454,0.9969087867809073,0.9932702681717932,-0.056658387895215,1.0499286560670082,-0.056658387895215,0.9932702681717932,0.9919453328909259,0.19902464897098263,0.7929206839199433,0.19902464897098263,0.9919453328909259,0.95,0.0,0.95,0.0,0.95,0.017998429015278816,1.7634528875350952,1.7454544585198164,0.017998429015278816,1.7634528875350952
norman19_cpa,CPA,BAK1+BCL2L11,PerturBench,1.0,0.405,0.595,0.405,1.0,1.0,0.38,0.62,0.38,1.0,1.0,0.25,0.75,0.25,1.0,0.9981911010766099,-0.21973533717966975,1.2179264382562796,-0.21973533717966975,0.9981911010766099,0.9959046909903193,-0.12537251548926845,1.1212772064795877,-0.12537251548926845,0.9959046909903193,0.9938770609236539,-0.16118064193603396,1.1550577028596878,-0.16118064193603396,0.9938770609236539,1.0,0.0,1.0,0.0,1.0,0.013611088506877422,2.011223077774048,1.9976119892671704,0.013611088506877422,2.011223077774048
norman19_cpa,CPA,BPGM+SAMD1,PerturBench,1.0,0.79,0.20999999999999996,0.79,1.0,1.0,0.58,0.42000000000000004,0.58,1.0,1.0,0.25,0.75,0.25,1.0,0.9978338922650031,0.4271664795756372,0.5706674126893658,0.4271664795756372,0.9978338922650031,0.9948909125594019,0.4168168653961503,0.5780740471632515,0.4168168653961503,0.9948909125594019,0.9750070506848787,0.30769661132750803,0.6673104393573707,0.30769661132750803,0.9750070506848787,1.0,0.05,0.95,0.05,1.0,0.0282727237790823,3.5557823181152344,3.527509594336152,0.0282727237790823,3.5557823181152344
norman19_cpa,CPA,CBFA2T3+FEV,PerturBench,1.0,0.64,0.36,0.64,1.0,1.0,0.48,0.52,0.48,1.0,1.0,0.35,0.65,0.35,1.0,0.9964605646294336,0.2739223345259452,0.7225382301034884,0.2739223345259452,0.9964605646294336,0.9919714070843723,0.2629899803006414,0.7289814267837309,0.2629899803006414,0.9919714070843723,0.9299317607671349,0.36578276816109806,0.5641489926060368,0.36578276816109806,0.9299317607671349,0.95,0.1,0.85,0.1,0.95,0.05706142634153366,4.478944301605225,4.421882875263691,0.05706142634153366,4.478944301605225
norman19_cpa,CPA,CBFA2T3+POU3F2,PerturBench,1.0,0.76,0.24,0.76,1.0,1.0,0.8,0.19999999999999996,0.8,1.0,1.0,0.65,0.35,0.65,1.0,0.9993133554388006,0.5251294000696782,0.4741839553691224,0.5251294000696782,0.9993133554388006,0.997146813204179,0.37233793350739264,0.6248088796967863,0.37233793350739264,0.997146813204179,0.9955486828473299,0.008524277915455536,0.9870244049318744,0.008524277915455536,0.9955486828473299,1.0,0.1,0.9,0.1,1.0,0.004062886815518141,4.7469964027404785,4.74293351592496,0.004062886815518141,4.7469964027404785
norman19_cpa,CPA,CBL+CNN1,PerturBench,1.0,0.795,0.20499999999999996,0.795,1.0,1.0,0.64,0.36,0.64,1.0,1.0,0.4,0.6,0.4,1.0,0.9986120397847551,0.3718087699094257,0.6268032698753294,0.3718087699094257,0.9986120397847551,0.9956146010379908,0.34813312701781796,0.6474814740201729,0.34813312701781796,0.9956146010379908,0.9932031281165222,0.5241976547208181,0.4690054733957041,0.5241976547208181,0.9932031281165222,1.0,0.0,1.0,0.0,1.0,0.0047554634511470795,3.392822742462158,3.388067279011011,0.0047554634511470795,3.392822742462158
norman19_cpa,CPA,CBL+PTPN12,PerturBench,1.0,0.75,0.25,0.75,1.0,1.0,0.58,0.42000000000000004,0.58,1.0,1.0,0.35,0.65,0.35,1.0,0.998382048295638,0.31562895762741483,0.6827530906682232,0.31562895762741483,0.998382048295638,0.9962192440797655,0.3182742918449429,0.6779449522348227,0.3182742918449429,0.9962192440797655,0.9916555952513124,0.51838143079375,0.47327416445756243,0.51838143079375,0.9916555952513124,0.95,0.0,0.95,0.0,0.95,0.00979596097022295,2.868103504180908,2.8583075432106853,0.00979596097022295,2.868103504180908
norman19_cpa,CPA,CBL+TGFBR2,PerturBench,1.0,0.785,0.21499999999999997,0.785,1.0,1.0,0.62,0.38,0.62,1.0,1.0,0.4,0.6,0.4,1.0,0.9987924385079106,0.3090863595280446,0.6897060789798659,0.3090863595280446,0.9987924385079106,0.9970104039038842,0.2915545816893157,0.7054558222145685,0.2915545816893157,0.9970104039038842,0.9966121239298626,0.2723594278121836,0.7242526961176791,0.2723594278121836,0.9966121239298626,1.0,0.1,0.9,0.1,1.0,0.004349670838564634,4.818685531616211,4.814335860777646,0.004349670838564634,4.818685531616211
norman19_cpa,CPA,CDKN1B+CDKN1C,PerturBench,1.0,0.82,0.18000000000000005,0.82,1.0,1.0,0.74,0.26,0.74,1.0,1.0,0.55,0.44999999999999996,0.55,1.0,0.9984013328518361,0.5357930009531965,0.4626083318986396,0.5357930009531965,0.9984013328518361,0.9960425166896058,0.410344228180037,0.5856982885095687,0.410344228180037,0.9960425166896058,0.9635971133595523,0.7224304871668056,0.24116662619274676,0.7224304871668056,0.9635971133595523,0.95,0.1,0.85,0.1,0.95,0.02400134690105915,4.005673408508301,3.9816720616072416,0.02400134690105915,4.005673408508301
norman19_cpa,CPA,CEBPA+JUN,PerturBench,1.0,0.755,0.245,0.755,1.0,1.0,0.7,0.30000000000000004,0.7,1.0,1.0,0.6,0.4,0.6,1.0,0.9966104437447556,0.5016227461908723,0.4949876975538833,0.5016227461908723,0.9966104437447556,0.9904439138082736,0.45148181251416925,0.5389621012941044,0.45148181251416925,0.9904439138082736,0.9313488156070897,0.5217557320129723,0.4095930835941174,0.5217557320129723,0.9313488156070897,0.95,0.05,0.8999999999999999,0.05,0.95,0.050585635006427765,4.1586689949035645,4.108083359897137,0.050585635006427765,4.1586689949035645
